2026-04-16T00:53:11 | DEBUG    | trading_bot.client | Response 200: {'orderId': 13037614532, 'symbol': 'BTCUSDT', 'status': 'NEW', 'clientOrderId': 'ZglqwWGecMn3Rlksgur2qz', 'price': '0.00', 'avgPrice': '0.00', 'origQty': '0.0100', 'executedQty': '0.0000', 'cumQty': '0.0000', 'cumQuote': '0.000000', 'timeInForce': 'GTC', 'type': 'MARKET', 'reduceOnly': False, 'closePosition': False, 'side': 'BUY', 'positionSide': 'BOTH', 'stopPrice': '0.00', 'workingType': 'CONTRACT_PRICE', 'priceProtect': False, 'origType': 'MARKET', 'priceMatch': 'NONE', 'selfTradePreventionMode': 'EXPIRE_MAKER', 'goodTillDate': 0, 'updateTime': 1776280991501}
2026-04-16T00:53:11 | INFO     | trading_bot.orders | Order placed. ID: 13037614532 | Status: NEW
2026-04-16T00:53:20 | INFO     | trading_bot.orders | Placing LIMIT SELL 0.01 BTCUSDT @ 65000
2026-04-16T00:53:20 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'LIMIT', 'quantity': '0.01', 'price': '65000', 'timeInForce': 'GTC', 'timestamp': 1776281000067, 'recvWindow': 5000}
2026-04-16T00:53:20 | DEBUG    | trading_bot.client | Response 400: {'code': -4024, 'msg': "Limit price can't be lower than 70881.05."}
2026-04-16T00:53:20 | ERROR    | trading_bot.client | Binance API error [-4024]: Limit price can't be lower than 70881.05.
2026-04-16T00:53:26 | INFO     | trading_bot.orders | Placing STOP_MARKET SELL 0.01 BTCUSDT trigger @ 60000
2026-04-16T00:53:26 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'side': 'SELL', 'type': 'STOP_MARKET', 'quantity': '0.01', 'stopPrice': '60000', 'timestamp': 1776281006070, 'recvWindow': 5000}
2026-04-16T00:53:26 | DEBUG    | trading_bot.client | Response 400: {'code': -4120, 'msg': 'Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.'}
2026-04-16T00:53:26 | ERROR    | trading_bot.client | Binance API error [-4120]: Order type not supported for this endpoint. Please use the Algo Order API endpoints instead.
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223619, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 200: {'orderId': 12345, 'symbol': 'BTCUSDT', 'status': 'NEW'}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223626, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 400: {'code': -1102, 'msg': "Mandatory parameter 'timeInForce' was not sent, was empty/null..."}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Binance API error [-1102]: Mandatory parameter 'timeInForce' was not sent, was empty/null...
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223631, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Request timeout: POST /fapi/v1/order
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223636, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Connection error: POST /fapi/v1/order
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223640, 'recvWindow': 5000}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | Non-JSON response [502]: <html>502 Bad Gateway</html>
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | POST /fapi/v1/order params={'symbol': 'BTCUSDT', 'timestamp': 1776281223644, 'recvWindow': 5000}
2026-04-16T00:57:03 | DEBUG    | trading_bot.client | Response 500: {'other': 'error'}
2026-04-16T00:57:03 | ERROR    | trading_bot.client | HTTP 500: {"other": "error"}
